Fecha,desempleo
2022-08-31,10.63
2022-09-30,10.75
2022-10-31,9.72
2022-11-30,9.5
2022-12-31,10.27
2023-01-31,13.7
2023-02-28,11.35
2023-03-31,10.03
2023-04-30,10.72
2023-05-31,10.48
2023-06-30,9.34
2023-07-31,9.57
2023-08-31,9.28
2023-09-30,9.25
2023-10-31,9.23
2023-11-30,9.01
2023-12-31,10.01
2024-01-31,12.66
2024-02-29,11.67
2024-03-31,11.29
2024-04-30,10.65
2024-05-31,10.31
2024-06-30,10.27
2024-07-31,9.92
2024-08-31,9.66
2024-09-30,9.13
2024-10-31,9.13
2024-11-30,8.17
2024-12-31,9.13
2025-01-31,11.64
2025-02-28,10.33
2025-03-31,9.62
