Fecha,IPC
2022-08-31,121.5
2022-09-30,122.63
2022-10-31,123.51
2022-11-30,124.46
2022-12-31,126.03
2023-01-31,128.27
2023-02-28,130.4
2023-03-31,131.77
2023-04-30,132.8
2023-05-31,133.38
2023-06-30,133.78
2023-07-31,134.45
2023-08-31,135.39
2023-09-30,136.11
2023-10-31,136.45
2023-11-30,137.09
2023-12-31,137.72
2024-01-31,138.98
2024-02-29,140.49
2024-03-31,141.48
2024-04-30,142.32
2024-05-31,142.92
2024-06-30,143.38
2024-07-31,143.67
2024-08-31,143.67
2024-09-30,144.02
2024-10-31,143.83
2024-11-30,144.22
2024-12-31,144.88
2025-01-31,146.24
2025-02-28,147.9
2025-03-31,148.68
2025-04-30,149.66
