Fecha,TRM
2022-08-07,4337.28
2022-08-08,4337.28
2022-08-09,4307.09
2022-08-10,4309.69
2022-08-11,4273.82
2022-08-12,4231.45
2022-08-13,4185.49
2022-08-14,4185.49
2022-08-15,4185.49
2022-08-16,4185.49
2022-08-17,4218.48
2022-08-18,4316.47
2022-08-19,4413.86
2022-08-20,4400.25
2022-08-21,4400.25
2022-08-22,4400.25
2022-08-23,4399.16
2022-08-24,4374.45
2022-08-25,4380.19
2022-08-26,4407.95
2022-08-27,4388.02
2022-08-28,4388.02
2022-08-29,4388.02
2022-08-30,4386.13
2022-08-31,4400.16
2022-09-01,4422.77
2022-09-02,4467.03
2022-09-03,4466.73
2022-09-04,4466.73
2022-09-05,4466.73
2022-09-06,4466.73
2022-09-07,4480.1
2022-09-08,4446.36
2022-09-09,4396.69
2022-09-10,4365.32
2022-09-11,4365.32
2022-09-12,4365.32
2022-09-13,4346.91
2022-09-14,4413.89
2022-09-15,4389.8
2022-09-16,4404.64
2022-09-17,4435.84
2022-09-18,4435.84
2022-09-19,4435.84
2022-09-20,4415.11
2022-09-21,4420.38
2022-09-22,4403.82
2022-09-23,4379.8
2022-09-24,4426.47
2022-09-25,4426.47
2022-09-26,4426.47
2022-09-27,4496.99
2022-09-28,4556.42
2022-09-29,4486.94
2022-09-30,4532.07
2022-10-01,4590.54
2022-10-02,4590.54
2022-10-03,4590.54
2022-10-04,4545.66
2022-10-05,4484.74
2022-10-06,4548.89
2022-10-07,4627.61
2022-10-08,4605.29
2022-10-09,4605.29
2022-10-10,4605.29
2022-10-11,4605.29
2022-10-12,4611.88
2022-10-13,4611.18
2022-10-14,4619.78
2022-10-15,4636.83
2022-10-16,4636.83
2022-10-17,4636.83
2022-10-18,4636.83
2022-10-19,4744.04
2022-10-20,4815.09
2022-10-21,4885.5
2022-10-22,4913.24
2022-10-23,4913.24
2022-10-24,4913.24
2022-10-25,4968.94
2022-10-26,4948.14
2022-10-27,4895.29
2022-10-28,4821.92
2022-10-29,4819.42
2022-10-30,4819.42
2022-10-31,4819.42
2022-11-01,4898.74
2022-11-02,4975.58
2022-11-03,5015.84
2022-11-04,5058.02
2022-11-05,5061.21
2022-11-06,5061.21
2022-11-07,5061.21
2022-11-08,5061.21
2022-11-09,5013.2
2022-11-10,4914.71
2022-11-11,4806.07
2022-11-12,4806.07
2022-11-13,4806.07
2022-11-14,4806.07
2022-11-15,4806.07
2022-11-16,4801.06
2022-11-17,4922.7
2022-11-18,5022.03
2022-11-19,4994.61
2022-11-20,4994.61
2022-11-21,4994.61
2022-11-22,4958.42
2022-11-23,4914.34
2022-11-24,4875.91
2022-11-25,4875.91
2022-11-26,4881.41
2022-11-27,4881.41
2022-11-28,4881.41
2022-11-29,4840.6
2022-11-30,4809.51
2022-12-01,4815.59
2022-12-02,4779.06
2022-12-03,4767.19
2022-12-04,4767.19
2022-12-05,4767.19
2022-12-06,4812.37
2022-12-07,4818.32
2022-12-08,4825.83
2022-12-09,4825.83
2022-12-10,4815.99
2022-12-11,4815.99
2022-12-12,4815.99
2022-12-13,4836.24
2022-12-14,4791.57
2022-12-15,4778.28
2022-12-16,4797.02
2022-12-17,4802.48
2022-12-18,4802.48
2022-12-19,4802.48
2022-12-20,4781.28
2022-12-21,4769.29
2022-12-22,4761.64
2022-12-23,4760.61
2022-12-24,4745.04
2022-12-25,4745.04
2022-12-26,4745.04
2022-12-27,4745.04
2022-12-28,4766.82
2022-12-29,4765.92
2022-12-30,4810.2
2022-12-31,4810.2
2023-01-01,4810.2
2023-01-02,4810.2
2023-01-03,4810.2
2023-01-04,4842.26
2023-01-05,4924.0
2023-01-06,4989.58
2023-01-07,4885.66
2023-01-08,4885.66
2023-01-09,4885.66
2023-01-10,4885.66
2023-01-11,4807.85
2023-01-12,4748.54
2023-01-13,4692.04
2023-01-14,4693.99
2023-01-15,4693.99
2023-01-16,4693.99
2023-01-17,4693.99
2023-01-18,4691.09
2023-01-19,4702.67
2023-01-20,4683.85
2023-01-21,4631.64
2023-01-22,4631.64
2023-01-23,4631.64
2023-01-24,4551.02
2023-01-25,4545.94
2023-01-26,4538.91
2023-01-27,4531.75
2023-01-28,4548.5
2023-01-29,4548.5
